2026-09-18 19:49:34.966 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=]- removeAbandoned is true, not use in production.
2026-09-18 19:49:37.559 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 19:49:37.559 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 19:50:30.803 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=]- removeAbandoned is true, not use in production.
2026-09-18 19:50:41.518 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 19:50:41.518 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:29:02.006 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:29:04.835 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:29:04.836 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:30:42.981 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:30:45.556 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:30:45.557 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:32:58.714 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:33:01.548 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:33:01.548 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:33:35.698 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
2026-09-18 21:33:38.289 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-18 21:33:38.290 [main] WARN  org.springdoc.core.events.SpringDocAppInitializer -[traceId=,spanId=]- SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-18 21:34:17.289 [main] WARN  com.alibaba.druid.pool.DruidDataSource -[traceId=,spanId=]- removeAbandoned is true, not use in production.
